income;sex;mar-stat;age;edu;occup;yrs-BA;mar-dlinc;num-hsld;children;hsld-stat;typ-home;ethnic;lang
$50,000 to $74,999;Female;Single, never married;18 thru 24;Graduated high school;Student, HS or College;More than ten years;Not Married;Three;None;Live with Parents/Family;House;White;English
$50,000 to $74,999;Female;Single, never married;18 thru 24;Graduated high school;Student, HS or College;More than ten years;Not Married;Six;None;Rent;Other;White;English
Less than $10,000;Female;Single, never married;14 thru 17;NA;Student, HS or College;Four to six years;Not Married;Four;Two;Live with Parents/Family;House;Hispanic;English
$40,000 to $49,999;Female;Divorced or separated;35 thru 44;Grad Study;Professional/Managerial;More than ten years;Not Married;One;None;Own;House;White;English
$75,000 or more;Female;Married;25 thru 34;College graduate;Professional/Managerial;Seven to ten years;Yes;Three;One;Own;House;White;English
$25,000 to $29,999;Female;Single, never married;25 thru 34;1 to 3 years of college;Professional/Managerial;More than ten years;Not Married;One;One;Own;House;White;English
$50,000 to $74,999;Male;Married;65 and Over;College graduate;Retired;More than ten years;No;Two;None;Own;House;White;English
$75,000 or more;Male;Married;45 thru 54;College graduate;Professional/Managerial;More than ten years;Yes;Two;None;Own;House;White;NA
Less than $10,000;Male;Single, never married;14 thru 17;Grade 8 or less;Student, HS or College;More than ten years;Not Married;Three;One;Live with Parents/Family;Condominium;Hispanic;English
$20,000 to $24,999;Male;Married;25 thru 34;1 to 3 years of college;NA;More than ten years;Yes;Two;None;Rent;Condominium;White;English
$50,000 to $74,999;Male;Married;55 thru 64;1 to 3 years of college;Professional/Managerial;More than ten years;Yes;Three;None;Own;House;White;English
$40,000 to $49,999;Male;Divorced or separated;45 thru 54;Graduated high school;Factory Worker/Laborer/Driver;Seven to ten years;Not Married;Four;One;Rent;House;White;English
$75,000 or more;Male;Married;25 thru 34;1 to 3 years of college;Professional/Managerial;Seven to ten years;Yes;Four;Two;Rent;House;White;English
$75,000 or more;Male;Married;55 thru 64;College graduate;Professional/Managerial;More than ten years;Yes;Two;None;Own;House;White;English
$50,000 to $74,999;Male;Married;55 thru 64;Grad Study;Professional/Managerial;More than ten years;Yes;Three;One;Own;House;White;English
$30,000 to $39,999;Female;Living together, not married;25 thru 34;1 to 3 years of college;Factory Worker/Laborer/Driver;More than ten years;Not Married;Two;None;Rent;Apartment;White;English
$40,000 to $49,999;Male;Married;25 thru 34;1 to 3 years of college;Factory Worker/Laborer/Driver;More than ten years;Yes;Two;None;Own;House;White;English
$75,000 or more;Male;Married;55 thru 64;Grad Study;Retired;More than ten years;No;Two;None;Own;House;White;English
$50,000 to $74,999;Male;Single, never married;18 thru 24;Graduated high school;Professional/Managerial;More than ten years;Not Married;Three;None;Rent;Condominium;White;English
$30,000 to $39,999;Male;Married;45 thru 54;NA;Sales Worker;More than ten years;Yes;Four;Two;Own;House;White;English
$50,000 to $74,999;Male;Married;45 thru 54;Grad Study;Professional/Managerial;More than ten years;No;Two;One;Own;House;Black;English
$75,000 or more;Male;Single, never married;14 thru 17;Grades 9 to 11;Clerical/Service Worker;More than ten years;Not Married;Four;Two;Live with Parents/Family;House;White;English
$50,000 to $74,999;Male;Married;55 thru 64;College graduate;Professional/Managerial;More than ten years;No;Two;None;Own;House;White;English
$75,000 or more;Male;Married;65 and Over;1 to 3 years of college;Retired;More than ten years;Yes;Two;None;Own;House;White;English
$75,000 or more;Male;Married;55 thru 64;1 to 3 years of college;Professional/Managerial;More than ten years;Yes;Two;None;Rent;House;White;English
$20,000 to $24,999;Male;Single, never married;25 thru 34;1 to 3 years of college;Student, HS or College;More than ten years;Not Married;Four;None;Rent;House;White;English
$75,000 or more;Male;Single, never married;18 thru 24;1 to 3 years of college;Factory Worker/Laborer/Driver;More than ten years;Not Married;Three;None;Live with Parents/Family;House;White;English
$50,000 to $74,999;Male;Married;45 thru 54;Grad Study;Professional/Managerial;More than ten years;Not Married;Three;None;Own;House;Black;English
$25,000 to $29,999;Male;Single, never married;25 thru 34;Grad Study;Professional/Managerial;More than ten years;Not Married;Two;None;Rent;Apartment;White;English
$40,000 to $49,999;Male;Married;45 thru 54;Graduated high school;Retired;More than ten years;Yes;Three;None;Own;House;White;English
$75,000 or more;Female;Married;65 and Over;1 to 3 years of college;Retired;More than ten years;No;Three;None;Own;House;White;English
$75,000 or more;Male;Married;35 thru 44;Grad Study;Professional/Managerial;More than ten years;Yes;Three;One;Own;House;White;English
$25,000 to $29,999;Male;Married;65 and Over;College graduate;Retired;More than ten years;No;Two;None;Own;House;White;English
$30,000 to $39,999;Female;Divorced or separated;55 thru 64;Graduated high school;Clerical/Service Worker;NA;Not Married;One;None;Own;Other;White;English
$50,000 to $74,999;Male;Married;55 thru 64;1 to 3 years of college;Professional/Managerial;More than ten years;Yes;Three;One;Own;House;White;English
$75,000 or more;Male;Married;35 thru 44;College graduate;Sales Worker;More than ten years;Yes;Four;Two;Own;House;White;English
$75,000 or more;Male;Married;35 thru 44;Grad Study;Professional/Managerial;More than ten years;Yes;Two;None;Own;House;White;English
$50,000 to $74,999;Male;Married;35 thru 44;Grad Study;Professional/Managerial;More than ten years;Yes;Four;Two;Own;House;White;English
$75,000 or more;Male;Married;25 thru 34;Grad Study;Professional/Managerial;More than ten years;Yes;Two;None;Own;House;American Indian;English
$20,000 to $24,999;Male;Living together, not married;18 thru 24;Graduated high school;Factory Worker/Laborer/Driver;One to three years;Not Married;Four;None;Rent;Apartment;White;English
$75,000 or more;Male;Married;35 thru 44;College graduate;Professional/Managerial;More than ten years;Yes;Four;One;Own;House;White;English
$40,000 to $49,999;Male;Married;55 thru 64;College graduate;Retired;More than ten years;Yes;Four;None;Own;House;White;English
$40,000 to $49,999;Female;Married;25 thru 34;Graduated high school;Professional/Managerial;Four to six years;No;Four;Two;Rent;Apartment;White;English
$50,000 to $74,999;Male;Married;25 thru 34;1 to 3 years of college;Professional/Managerial;Seven to ten years;Yes;Four;Two;Own;House;White;English
$50,000 to $74,999;Male;Married;45 thru 54;1 to 3 years of college;Professional/Managerial;More than ten years;No;Two;None;Own;House;White;English
Less than $10,000;Male;Divorced or separated;35 thru 44;Grad Study;Unemployed;Four to six years;Not Married;One;None;Rent;House;White;English
$10,000 to $14,999;Male;Divorced or separated;65 and Over;Grades 9 to 11;Retired;More than ten years;Not Married;One;None;Own;House;White;English
$20,000 to $24,999;Female;Divorced or separated;45 thru 54;Graduated high school;Clerical/Service Worker;More than ten years;Not Married;NA;None;Own;House;Hispanic;English
$30,000 to $39,999;Male;Married;65 and Over;Graduated high school;Retired;More than ten years;No;Two;None;Own;House;White;English
$15,000 to $19,999;Female;Single, never married;18 thru 24;1 to 3 years of college;Professional/Managerial;More than ten years;Not Married;Six;One;Live with Parents/Family;House;White;English
$20,000 to $24,999;Male;Married;65 and Over;1 to 3 years of college;Retired;NA;No;Two;None;Own;Condominium;White;English
$20,000 to $24,999;Female;Widowed;65 and Over;Graduated high school;Clerical/Service Worker;More than ten years;Not Married;One;None;Own;House;White;English
$25,000 to $29,999;Male;Single, never married;18 thru 24;1 to 3 years of college;Professional/Managerial;More than ten years;Not Married;One;None;Rent;House;White;English
$10,000 to $14,999;Female;Widowed;35 thru 44;Graduated high school;Clerical/Service Worker;NA;Not Married;Five;Three;Rent;Apartment;White;English
$30,000 to $39,999;Female;Divorced or separated;55 thru 64;1 to 3 years of college;Homemaker;More than ten years;Not Married;Four;None;Own;House;White;English
$30,000 to $39,999;Female;Married;25 thru 34;1 to 3 years of college;Sales Worker;More than ten years;Yes;Three;One;Rent;Apartment;White;English
$50,000 to $74,999;Female;Divorced or separated;35 thru 44;Grad Study;Professional/Managerial;More than ten years;Not Married;One;None;Own;Condominium;White;English
$30,000 to $39,999;Male;Married;25 thru 34;Graduated high school;Factory Worker/Laborer/Driver;More than ten years;Yes;Four;Two;Rent;Other;White;English
Less than $10,000;Female;Single, never married;65 and Over;Grad Study;Retired;More than ten years;Not Married;Two;None;Own;House;White;English
$50,000 to $74,999;Female;Married;45 thru 54;1 to 3 years of college;Homemaker;More than ten years;Yes;Five;One;Own;House;White;English
$40,000 to $49,999;Female;Married;45 thru 54;1 to 3 years of college;Homemaker;Seven to ten years;Yes;Four;Two;Rent;Condominium;Black;English
$25,000 to $29,999;Female;Married;25 thru 34;1 to 3 years of college;Homemaker;Seven to ten years;No;Five;None;Rent;House;White;English
$75,000 or more;Female;Married;35 thru 44;College graduate;Sales Worker;More than ten years;Yes;Four;One;Own;House;White;English
$30,000 to $39,999;Female;Single, never married;25 thru 34;College graduate;Professional/Managerial;More than ten years;Not Married;One;None;Rent;Condominium;White;English
$20,000 to $24,999;Female;Married;55 thru 64;1 to 3 years of college;Retired;More than ten years;No;Three;None;Own;House;White;English
$50,000 to $74,999;Female;Married;25 thru 34;College graduate;Professional/Managerial;More than ten years;Yes;Four;Two;Own;House;White;English
$20,000 to $24,999;Female;Divorced or separated;45 thru 54;1 to 3 years of college;Sales Worker;NA;Not Married;One;None;Rent;NA;White;English
$15,000 to $19,999;Male;Single, never married;18 thru 24;1 to 3 years of college;Student, HS or College;More than ten years;Not Married;Three;None;Live with Parents/Family;House;White;English
$40,000 to $49,999;Male;Married;35 thru 44;1 to 3 years of college;Professional/Managerial;More than ten years;No;Four;Two;Own;House;White;English
$50,000 to $74,999;Female;Single, never married;18 thru 24;1 to 3 years of college;Student, HS or College;More than ten years;Not Married;NA;None;Live with Parents/Family;House;White;English
$30,000 to $39,999;Male;Married;65 and Over;1 to 3 years of college;Retired;More than ten years;No;NA;None;Own;House;White;English
$50,000 to $74,999;Female;Married;65 and Over;Grad Study;Retired;NA;No;Two;None;Own;Condominium;White;English
$75,000 or more;Female;Married;25 thru 34;College graduate;Professional/Managerial;More than ten years;Yes;Four;Two;Own;House;Other;Other
$75,000 or more;Male;Single, never married;18 thru 24;1 to 3 years of college;Sales Worker;More than ten years;Not Married;Three;None;Live with Parents/Family;House;White;English
$75,000 or more;Male;Single, never married;18 thru 24;Grades 9 to 11;Clerical/Service Worker;One to three years;Not Married;Four;None;Live with Parents/Family;House;White;English
Less than $10,000;Male;Single, never married;18 thru 24;Grades 9 to 11;Student, HS or College;One to three years;Not Married;Four;None;Live with Parents/Family;House;White;English
$50,000 to $74,999;Male;Single, never married;25 thru 34;College graduate;Professional/Managerial;More than ten years;Not Married;Two;None;Own;House;White;English
$50,000 to $74,999;Male;Married;25 thru 34;College graduate;Professional/Managerial;More than ten years;Yes;Two;None;Own;House;White;English
Less than $10,000;Female;Single, never married;18 thru 24;1 to 3 years of college;Student, HS or College;Four to six years;Not Married;Five;Two;Own;House;White;English
$25,000 to $29,999;Male;Single, never married;18 thru 24;Graduated high school;Student, HS or College;Seven to ten years;Not Married;Three;None;Rent;House;White;English
Less than $10,000;Male;Single, never married;18 thru 24;Graduated high school;Military;Four to six years;Not Married;NA;None;Live with Parents/Family;House;White;English
$75,000 or more;Female;Married;45 thru 54;1 to 3 years of college;Professional/Managerial;More than ten years;Yes;Two;None;Own;House;White;English
$20,000 to $24,999;Female;Married;55 thru 64;College graduate;Military;More than ten years;No;Two;None;Own;House;White;English
$15,000 to $19,999;Male;Single, never married;45 thru 54;College graduate;Professional/Managerial;More than ten years;Not Married;One;None;Rent;Apartment;White;English
$75,000 or more;Male;Married;45 thru 54;Grad Study;Professional/Managerial;More than ten years;No;Two;None;Own;House;White;English
Less than $10,000;Female;Widowed;65 and Over;1 to 3 years of college;Professional/Managerial;More than ten years;Not Married;NA;None;Own;House;White;English
$40,000 to $49,999;Male;Married;65 and Over;College graduate;Retired;More than ten years;No;Two;None;Own;House;White;English
Less than $10,000;Male;Single, never married;14 thru 17;Grades 9 to 11;Sales Worker;Seven to ten years;Not Married;Four;Two;Live with Parents/Family;House;White;Other
Less than $10,000;Male;Single, never married;14 thru 17;Graduated high school;Student, HS or College;More than ten years;Not Married;Four;Two;Live with Parents/Family;House;White;English
$40,000 to $49,999;Female;Living together, not married;25 thru 34;Grades 9 to 11;Clerical/Service Worker;More than ten years;Not Married;Two;None;Own;Condominium;White;English
$25,000 to $29,999;Female;Married;55 thru 64;Graduated high school;Homemaker;NA;No;Two;None;Own;House;White;English
